stimuli,response
"(1, 1)",0.8387096774193549
"(1, 2)",0.17647058823529413
"(1, 5)",0.16666666666666666
"(1, 6)",0.3333333333333333
"(1, 7)",0.14285714285714285
"(1, 8)",0.4
"(1, 9)",0.3333333333333333
"(1, 11)",0.3333333333333333
"(1, 12)",1.0
"(1, 13)",0.3
"(1, 14)",0.9130434782608695
"(1, 15)",0.0
"(1, 16)",0.16666666666666666
"(1, 17)",0.38461538461538464
"(1, 19)",0.25
"(1, 20)",0.7777777777777778
"(1, 21)",0.25
"(1, 22)",0.2
"(1, 23)",0.5625
"(1, 24)",0.0
"(1, 27)",0.4
"(1, 28)",0.3333333333333333
"(1, 30)",0.6746987951807228
"(1, 32)",0.3333333333333333
"(1, 34)",0.375
"(1, 35)",0.4
"(1, 36)",0.5
"(1, 37)",0.2
"(1, 40)",0.125
"(1, 41)",0.2222222222222222
"(1, 45)",0.46153846153846156
"(1, 46)",0.2727272727272727
"(1, 49)",0.23076923076923078
"(1, 50)",0.2857142857142857
"(1, 52)",0.2903225806451613
"(1, 54)",0.2222222222222222
"(1, 55)",0.2727272727272727
"(1, 57)",0.8333333333333334
"(1, 58)",0.13333333333333333
"(1, 59)",0.125
"(1, 60)",0.2608695652173913
"(1, 61)",0.2222222222222222
"(1, 62)",0.7
"(1, 63)",0.375
"(1, 64)",0.25
"(1, 65)",0.3125
"(1, 66)",0.4
"(1, 67)",0.2
"(1, 69)",0.2222222222222222
"(1, 70)",0.17073170731707318
"(1, 71)",0.7
"(1, 72)",0.2777777777777778
"(1, 73)",0.1111111111111111
"(1, 75)",0.2222222222222222
"(1, 76)",0.0
"(1, 77)",1.0
"(1, 79)",0.42857142857142855
"(1, 81)",0.0
"(1, 82)",0.16666666666666666
"(1, 84)",0.2
"(1, 85)",0.16666666666666666
"(1, 86)",0.7647058823529411
"(1, 87)",0.45454545454545453
"(1, 88)",0.5384615384615384
"(1, 89)",0.15384615384615385
"(1, 93)",0.3333333333333333
"(1, 94)",0.6666666666666666
"(1, 95)",0.4
"(1, 99)",0.2
"(1, 100)",0.14285714285714285
"(1, 101)",0.75
"(1, 102)",0.25
"(1, 103)",0.8095238095238095
"(1, 104)",0.4444444444444444
"(1, 106)",0.2857142857142857
"(1, 107)",0.10526315789473684
"(1, 108)",0.42857142857142855
"(1, 109)",0.26666666666666666
"(1, 110)",0.45454545454545453
"(1, 112)",0.25
"(1, 114)",0.5
"(1, 115)",0.15384615384615385
"(1, 116)",0.3157894736842105
"(1, 117)",0.2727272727272727
"(1, 118)",0.16666666666666666
"(1, 119)",0.11764705882352941
"(1, 120)",0.2
"(1, 121)",0.7777777777777778
"(1, 122)",0.14285714285714285
"(1, 123)",0.375
"(1, 125)",0.14285714285714285
"(1, 129)",0.4166666666666667
"(1, 130)",0.18181818181818182
"(1, 131)",0.3333333333333333
"(1, 132)",0.5
"(1, 136)",0.16666666666666666
"(1, 137)",0.29411764705882354
"(1, 140)",0.8571428571428571
"(1, 141)",0.25
"(1, 142)",0.35294117647058826
"(1, 143)",0.23809523809523808
"(1, 144)",0.2
"(2, 2)",0.7763157894736842
"(2, 5)",0.4666666666666667
"(2, 6)",0.5
"(2, 14)",0.35714285714285715
"(2, 16)",0.4
"(2, 17)",0.29411764705882354
"(2, 20)",0.26666666666666666
"(2, 23)",0.6470588235294118
"(2, 30)",0.2727272727272727
"(2, 34)",0.23076923076923078
"(2, 41)",0.2222222222222222
"(2, 45)",0.4
"(2, 49)",0.38461538461538464
"(2, 52)",0.23529411764705882
"(2, 55)",0.21428571428571427
"(2, 58)",0.5833333333333334
"(2, 60)",0.6363636363636364
"(2, 62)",0.0
"(2, 63)",0.7272727272727273
"(2, 65)",0.18181818181818182
"(2, 67)",0.8066298342541437
"(2, 70)",0.14285714285714285
"(2, 72)",0.18181818181818182
"(2, 79)",0.14285714285714285
"(2, 86)",0.16666666666666666
"(2, 87)",0.46153846153846156
"(2, 89)",0.2777777777777778
"(2, 93)",0.15384615384615385
"(2, 99)",0.25
"(2, 100)",0.1875
"(2, 101)",0.36363636363636365
"(2, 103)",0.14285714285714285
"(2, 107)",0.38461538461538464
"(2, 108)",0.1111111111111111
"(2, 109)",0.16666666666666666
"(2, 110)",0.1111111111111111
"(2, 115)",0.3157894736842105
"(2, 116)",0.375
"(2, 117)",0.875
"(2, 119)",0.4
"(2, 129)",0.2857142857142857
"(2, 130)",0.8571428571428571
"(2, 131)",0.375
"(2, 137)",0.13333333333333333
"(2, 142)",0.16666666666666666
"(2, 143)",0.47368421052631576
